X,Y,GID,MHN,IDENTIFICA,RESOLUCION,DIRECCION,AUTORIA,FECHA,DECRETO
-56.2013305,-34.8594333,66440869,B.I.D,Washingtonia robusta (rodal 23 ejemplares),Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
-56.1996651,-34.8597479,66440870,B.I.D,X Butiagrus nabonandii 'Palmera híbrida',Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
-56.1988222,-34.8593472,66440871,B.I.D,Eucalyptus saligna,Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
-56.2026222,-34.8581083,66440872,B.I.D,Podocarpus sp.,Decreto Departamental N°26728,"Parque Prado, Av. Hugo Balzo entre Atilio Pelosi y Luis A. de Herrera",,,
-56.1997,-34.8590944,66440873,B.I.D,Ulmus americana,Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
-56.1997472,-34.858525,66440874,B.I.D,Corymbia maculata 'Eucalypto' (2 ejemplares),Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico cantero de las Myrtaceas),,,
-56.2019916,-34.8591333,66440875,B.I.D,Sequoia sempervirens (4 ejemplares),Decreto Departamental N°26728,19 de abril 1071 (Jardín Botánico),,,
-56.2008027,-34.8577694,66440876,B.I.D,Cinnamomum camphora 'Alcanfor' 'Alcanforero' (2 ejemplares),Decreto Departamental N° 26728,19 de abril 1071 (Jardín Botánico),,,
-56.2155306,-34.834422,66440877,B.I.D,Erythrina crista-galli L. 'Ceibo',Decreto Departamental Nº26728,Camino Ariel 4737,,,
-56.2211166,-34.8471805,66440878,B.I.D,Quercus pubescens 'Roble',Decreto Departamental Nº26728,Carlos María de Pena 4751,,,
-56.1511436,-34.8814141,66440879,B.I.D,Araucaria angustifolia 'Pino de Brasil' (2 ejemplares),Decreto Departamental Nº26728,Asilo 3255 (IPES),,,
-56.150875,-34.8812638,66440880,B.I.D,Araucaria heterophylla 'Araucaria' (2 ejemplares),Decreto Departamental Nº26728,Asilo 3255 (IPES),,,
-56.1788346,-34.843827,66440881,B.I.D,Phoenix paludosa,Decreto Departamental N°26728,"Av Burgues 4259, Cementerio del Norte, frente al Crematorio.",,,
-56.1786305,-34.8444649,66440882,B.I.D,Phoenix paludosa,Decreto Departamental N°26728,"Av Burgues 4259, Cementerio del Norte, rotonda avenida central de acceso",,,
-56.1399411,-34.9004842,66440883,B.I.D,Schinus molle L. 'Anacahuita' 'Aguaribay' 'Arbol de la Pimienta',Decreto Departamental Nº31223,Marco Bruto 1438,,,
-56.1461555,-34.9009944,66440884,B.I.D,Phoenix paludosa,Decreto Departamental Nº26728,"Av. Gral Rivera 3245 y 3275, Zoológico Villa Dolores",,,
-56.1572138,-34.8972583,66440885,B.I.D,Quercus ilex 'Encina',Decreto Departamental N°26728,"Parque Batlle, Av. Ramón Benzano y Av. Lorenzo Merola",,,
-56.1687694,-34.9138305,66440886,B.I.D,Phoenix canariensis (avenida 33 ejemplares),Decreto Departamental Nº26728,"Parque Rodó, próxima al Patio Andaluz",,,
-56.1995805,-34.8411611,66440887,B.I.D,Sequoia sempervirens,Decreto Departamental Nº26728,"Av. de las Instrucciones 1057, Museo de la memoria (ex Quinta de Santos)",,,
-56.1877944,-34.9128805,66440888,B.I.D,Cupressus torulosa,Decreto Departamental Nº26728,Av. Gonzalo Ramirez 1302 (Cementerio Central),,,
-56.2003722,-34.8467611,66440889,B.I.D,Phoenix canariensis (rodal 12 ejemplares),Decreto Departamental Nº26728,"Av. Millán 4250, viviendas Town Park (ex Quinta Da Silva)",,,
-56.2053918,-34.8615554,66440890,B.I.D,Cryptomeria japonica var. compacta (rodal 5 ejemplares),Decreto Departamental Nº26728,"Rosaleda, espacio libre Juana de Ibarbourou, zona sur sobre Avda. Buschental",,,
-56.194122,-34.8557444,66440891,B.I.D,Pinus canariensis,Decreto Departamental Nº26728,"Parque Posadas, próximo al centro comercial",,,
-56.1944277,-34.856167,66440892,B.I.D,Pinus canariensis,Decreto Departamental Nº26728,"Parque Posadas, próximo al camino del centro comercial",,,
-56.1945533,-34.8560351,66440893,B.I.D,Agathis robusta 'Dammara',Decreto Departamental Nº26728,"Parque Posadas, pegado al centro comercial",,,
